FID,Join_Count,TARGET_FID,objectid,statecode,statename,state_ut,distcode,distname,distarea,totalpopul,totalhh,totpopmale,totpopfema,st_areasha,st_lengths,pointid,grid_code
349,3946,349,620,09,Uttar Pradesh,STATE,169,Mahoba,3144,875958,158435,466358,409600,3761732543,467935.8664,1357062,56.01390076
350,3819,350,621,09,Uttar Pradesh,STATE,187,Mahrajganj,2952,2684703,426565,1381754,1302949,3693932105,395247.8615,759753,50.44369888
351,5720,351,622,09,Uttar Pradesh,STATE,199,Mirzapur,4405,2496970,394925,1312302,1184668,5431488237,587261.5867,1473018,86.41480255
352,3777,352,623,09,Uttar Pradesh,STATE,189,Kushinagar,2905,3564544,561062,1818055,1746489,3638636711,476575.7455,815029,49.58240128
353,71,353,279,07,NCT of Delhi,UNION TERRITORY,091,North,61,887978,180044,475002,412976,66743907.88,59962.85424,483651,126.7699966
354,1644,354,280,06,Haryana,STATE,086,Gurgaon,1258,1514432,326428,816690,697742,1607540014,270304.9038,523425,91.48329926
355,2325,355,281,06,Haryana,STATE,071,Yamunanagar,1768,1214205,235423,646718,567487,2314342017,320163.4044,295151,59.47829819
356,1779,356,282,06,Haryana,STATE,089,Palwal,1359,1042708,171157,554497,488211,1733616521,268962.0472,571120,95.46769714
357,1233,357,283,06,Haryana,STATE,069,Panchkula,898,561293,117107,299679,261614,1240476960,262953.7473,256949,81.93109894
358,3684,358,374,15,Mizoram,STATE,281,Mamit,3025,86364,17731,44828,41536,3469032324,413631.3338,1769627,23.38430023
359,4217,359,375,14,Manipur,STATE,280,Chandel,3313,144182,28801,74579,69603,4015287413,401290.1123,1657764,21.89299965
360,3324,360,624,09,Uttar Pradesh,STATE,190,Deoria,2540,3100946,468346,1537436,1563510,3200359005,403240.5843,974628,69.77539825
361,5994,361,625,09,Uttar Pradesh,STATE,156,Unnao,4558,3108367,588533,1630087,1478280,5772362933,529629.4151,889289,90.4240036
362,5409,362,626,09,Uttar Pradesh,STATE,172,Fatehpur,4152,2632733,472238,1384722,1248011,5178693922,465629.0662,1154443,88.74019623
363,2038,363,627,09,Uttar Pradesh,STATE,192,Mau,1713,2205968,324424,1114709,1091259,1954324226,298933.9643,1137243,84.12470245
364,5132,364,628,09,Uttar Pradesh,STATE,158,Rae Bareli,4609,3405559,619707,1752542,1653017,4927232870,512568.4277,1021780,90.52330017
365,3408,365,629,09,Uttar Pradesh,STATE,#N/A,Amethi,0,0,0,0,0,3276022952,450068.8534,1002282,84.74980164
366,1277,366,630,09,Uttar Pradesh,STATE,140,Ghaziabad,1179,4681645,850676,2488834,2192811,1253259970,229135.6528,464306,104.5469971
367,3658,367,631,09,Uttar Pradesh,STATE,133,Muzaffarnagar,4008,4143512,676642,2193434,1950078,3621023672,357804.0494,373795,72.51110077
368,1578,368,632,09,Uttar Pradesh,STATE,141,Gautam Buddha Nagar,1282,1648115,327090,890214,757901,1541114719,297896.6711,506840,129.4810028
369,5036,369,633,09,Uttar Pradesh,STATE,132,Saharanpur,3689,3466382,597656,1834106,1632276,4996988033,418988.8069,303297,60.19889832
370,3123,370,634,09,Uttar Pradesh,STATE,161,Etawah,2311,1581810,277527,845856,735954,3007997198,327481.9226,896309,89.97460175
371,5279,371,635,09,Uttar Pradesh,STATE,146,Agra,4041,4418797,710566,2364953,2053844,5103216622,797837.4359,782664,99.63189697
372,4415,372,636,33,Tamil Nadu,STATE,617,Cuddalore,3703,2605914,635578,1311697,1294217,3867819554,495388.3645,3867283,29.79220009
373,1372,373,284,03,Punjab,STATE,#N/A,Pathankot,0,0,0,0,0,1402668814,257665.7934,161786,38.00550079
374,3589,374,285,03,Punjab,STATE,035,Gurdaspur,3551,2298323,443666,1212617,1085706,3641868981,364455.4905,176672,56.30089951
375,2975,375,286,03,Punjab,STATE,047,Mansa,2198,769751,149630,408732,361019,2953229488,366459.6132,322232,56.44070053
376,3639,376,287,03,Punjab,STATE,049,Amritsar,2683,2490656,488898,1318408,1172248,3725630970,427109.5542,184823,52.86289978
377,1877,377,398,13,Nagaland,STATE,270,Kohima,1463,267988,54391,138966,129022,1793505925,243504.0695,1224920,33.65990067
378,1955,378,399,13,Nagaland,STATE,264,Wokha,1628,166343,31891,84505,81838,1871728861,268803.5508,1040001,40.07770157
379,2097,379,400,13,Nagaland,STATE,263,Zunheboto,1255,140757,27835,71217,69540,2007937574,360924.8684,1129677,38.28310013
380,1427,380,401,13,Nagaland,STATE,269,Kiphire,1130,74004,14771,37830,36174,1418137973,239016.8998,1222142,34.96369934
381,1976,381,288,03,Punjab,STATE,045,Faridkot,1458,617508,120893,326671,290837,1985643386,243098.4552,264798,58.74169922
382,5011,382,289,03,Punjab,STATE,041,Ludhiana,3578,3498739,716826,1867816,1630923,5030901992,428173.1907,249318,73.10690308
383,4553,383,290,03,Punjab,STATE,046,Bathinda,3353,1388525,273902,743197,645328,4523527903,463054.5093,285748,55.46289825
384,3549,384,291,03,Punjab,STATE,037,Jalandhar,2624,2193590,461635,1145211,1048379,3569404203,467320.9025,210624,65.14510345
385,3037,385,292,03,Punjab,STATE,042,Moga,2242,995746,193256,525920,469826,3042739567,316425.8286,243956,58.68719864
386,4608,386,293,03,Punjab,STATE,038,Hoshiarpur,3386,1586625,336994,809057,777568,4671283500,471169.3765,183133,45.85910034
387,1069,387,402,13,Nagaland,STATE,265,Dimapur,927,378811,78605,197394,181417,1018061436,237095.533,1233381,36.56539917
388,2305,388,403,13,Nagaland,STATE,271,Peren,1651,95219,18475,49714,45505,2207943420,263294.6355,1330997,37.37599945
389,5376,389,404,12,Arunachal Pradesh,STATE,259,Lohit,5212,145726,30005,76221,69505,5238221330,414993.8749,560823,19.97750092
390,10615,390,405,12,Arunachal Pradesh,STATE,250,West Siang,8325,112274,21231,58168,54106,10373631371,665948.576,450813,14.37839985
391,8251,391,406,12,Arunachal Pradesh,STATE,249,Upper Subansiri,7032,83448,15869,41758,41690,8072346244,531516.3019,497930,15.7251997
392,6365,392,407,12,Arunachal Pradesh,STATE,253,Changlang,4662,148226,29521,76948,71278,6180791474,640123.6159,710685,21.50239944
393,2677,393,408,12,Arunachal Pradesh,STATE,254,Tirap,2362,111975,20611,57604,54371,2587179524,297685.5511,822944,32.92139816
394,3673,394,409,12,Arunachal Pradesh,STATE,255,Lower Subansiri,3508,83030,15249,41843,41187,3569950190,370736.0545,631788,23.00629997
395,8619,395,410,12,Arunachal Pradesh,STATE,247,East Kameng,4134,78690,14508,38775,39915,8386429310,593164.8132,633485,19.82180023
396,9211,396,411,12,Arunachal Pradesh,STATE,252,Upper Siang,6590,35320,7324,18699,16621,9063430780,577013.8561,412006,14.27840042
397,7870,397,412,12,Arunachal Pradesh,STATE,260,Anjaw,6190,21167,4612,11507,9660,7763707755,466323.8449,541298,16.2961998
398,4909,398,413,12,Arunachal Pradesh,STATE,251,East Siang,3603,99214,19107,50116,49098,4792652058,468029.691,519881,18.41139984
399,12566,399,414,12,Arunachal Pradesh,STATE,257,Dibang Valley,9129,8004,1952,4414,3590,12458987416,683308.661,400551,15.09389973
400,8662,400,415,12,Arunachal Pradesh,STATE,256,Kurung Kumey,6040,92076,15037,45318,46758,8446856744,500911.9828,555803,15.71090031
401,6606,401,416,12,Arunachal Pradesh,STATE,246,West Kameng,7422,83947,18159,46155,37792,6462840522,441911.2917,685786,18.53689957
402,4708,402,417,12,Arunachal Pradesh,STATE,258,Lower Dibang Valley,3900,54080,11600,28053,26027,4626779855,461674.1731,522841,16.8689003
403,2984,403,418,12,Arunachal Pradesh,STATE,245,Tawang,2172,49977,10062,29151,20826,2958593649,323022.0292,660516,17.54710007
404,4489,404,419,12,Arunachal Pradesh,STATE,248,Papum Pare,3462,176573,35730,89182,87391,4345045737,469894.2984,714787,22.26350021
405,2557,405,420,18,Assam,STATE,302,Goalpara,1824,1008183,198454,513292,494891,2452587550,362987.213,1149751,25.87789917
406,3123,406,421,18,Assam,STATE,324,Baksa,2457,950075,191701,481330,468745,3010093413,391792.1298,948219,28.10479927
407,5145,407,422,18,Assam,STATE,305,Nagaon,3973,2823768,559340,1439112,1384656,4945620772,780853.6278,992220,41.22570038
408,5556,408,637,33,Tamil Nadu,STATE,621,Pudukkottai,4644,1618345,387679,803188,815157,4862622618,600291.3855,3938367,30.24029922
409,7267,409,638,33,Tamil Nadu,STATE,605,Vellore,6075,3936331,929281,1961688,1974643,6418772322,708772.601,3765245,34.34740067
410,3269,410,639,09,Uttar Pradesh,STATE,196,Chandauli,2541,1952756,296804,1017905,934851,3102603129,379183.841,1387604,89.96399689
411,3563,411,294,03,Punjab,STATE,044,Muktsar,2593,901896,174360,475622,426274,3546507243,387224.2229,278352,56.01449966
412,1869,412,295,03,Punjab,STATE,051,Rupnagar,1356,684627,135635,357485,327142,1871650249,340893.2076,221773,46.06190109
413,2781,413,296,03,Punjab,STATE,043,Firozpur,5305,2029074,385994,1071637,957437,2784820399,346111.4049,239909,61.17029953
414,4396,414,297,03,Punjab,STATE,#N/A,Fazilka,0,0,0,0,0,4386731908,477633.9242,266854,57.38619995
415,1202,415,450,16,Tripura,STATE,289,West Tripura,2993,1725739,410565,879428,846311,1128568790,195162.7742,1812363,36.58860016
416,1904,416,298,03,Punjab,STATE,054,Barnala,1482,595527,115798,317522,278005,1894407379,264056.631,284316,56.72829819
417,1500,417,299,03,Punjab,STATE,052,Sahibzada Ajit Singh Nagar,1094,994628,205411,529253,465375,1492757230,347398.9454,255629,74.12670135
418,100,418,366,27,Maharashtra,STATE,519,Mumbai,157,3085411,674339,1684608,1400803,98552636.28,61247.90628,3083710,55.31510162
419,5584,419,367,15,Mizoram,STATE,286,Lunglei,4536,161428,33058,82891,78537,5221026589,465232.4788,2046849,22.30340004
420,2163,420,368,15,Mizoram,STATE,282,Kolasib,1382,83955,17270,42918,41037,2042390759,271231.5128,1692467,23.00429916
421,3077,421,369,15,Mizoram,STATE,287,Lawngtlai,2557,117894,22984,60599,57295,2876126925,511566.0214,2224605,17.12220001
422,1916,422,370,15,Mizoram,STATE,288,Saiha,1399,56574,11144,28594,27980,1781479288,290542.4984,2278073,21.02339935
423,4297,423,371,15,Mizoram,STATE,284,Champhai,3185,125745,25520,63388,62357,4042920302,390977.9851,1826225,18.83029938
424,2754,424,451,16,Tripura,STATE,291,Dhalai,2400,378230,84509,194544,183686,2596220494,343921.8783,1772178,31.58180046
425,835,425,452,16,Tripura,STATE,#N/A,Unokoti,0,0,0,0,0,792551546.4,190480.6917,1729896,28.27099991
